Monroe County,"$1,490,000",19.5 ac,"Tobyhanna, PA 18466"
Monroe County,"$1,500,000",16 ac,"Swiftwater, PA 18326"
Oneida County,"$369,000",5.2 ac,"Trenton Town, NY 13438"
Monroe County,"$615,000",10.5 ac,"Saylorsburg, PA 18322"
Oneida County,"$449,000",35 ac,"Clayville, NY 13322"
Oneida County,"$119,000",0.49 ac,"Utica, NY 13502"
Oneida County,"$1,299,000",145 ac,"Whitestown Town, NY 13492"
Monroe County,"$405,000",25 ac,"Gilbert, PA 18331"
Monroe County,"$84,900",6.5 ac,"Tobyhanna, PA 18466"
Dare County,"$949,000",2.32 ac,"Frisco, NC 27936"
Oneida County,"$199,900",2.8 ac,"Whitestown Town, NY 13417"
Monroe County,"$499,000",3 ac,"Brodheadsville, PA 18322"
Dare County,"$419,000",0.6 ac,"Frisco, NC 27936"
Sussex County,"$1,802,850",51.5 ac,"Delmar, DE 19940"
Monroe County,"$1,900,000",4.71 ac,"Effort, PA 18330"
Oneida County,"$329,900",3 ac,"Boonville, NY 13309"
Wicomico County,"$495,000",0.29 ac,"Salisbury, MD 21801"
St. Lawrence County,"$160,000",0.42 ac,"Canton, NY 13617"
Kent County,"$1,800,000",5.4 ac,"Harrington, DE 19952"
Monroe County,"$425,000",2.61 ac,"Effort, PA 18330"
Monroe County,"$139,000",0.97 ac,"Pocono Pines, PA 18350"
Monroe County,"$249,000",1 ac,"Pocono Pines, PA 18350"
Oneida County,"$449,000",9 ac,"Sangerfield, NY 13480"
Lackawanna County,"$400,000",6.29 ac,"Covington Township, PA 18424"
Wicomico County,"$495,000",74 ac,"Salisbury, MD 21801"
Dare County,"$1,845,000",2 ac,"Wanchese, NC 27981"
Carbon County,"$1,675,000",5 ac,"Palmerton, PA 18071"
Monroe County,"$999,900",43 ac,"Blakeslee, PA 18610"
Montgomery County,"$399,900",2.8 ac,"Pottstown, PA 19464"
Lehigh County,"$950,000",4 ac,"North Whitehall Township, PA 18037"
Lackawanna County,"$189,000",8 ac,"Carbondale, PA 18407"
Wicomico County,"$369,000",8.17 ac,"Hebron, MD 21830"
Montgomery County,"$375,000",0.46 ac,"Pottstown, PA 19464"
Chenango County,"$249,000",4.36 ac,"Norwich, NY 13815"
Lehigh County,"$4,500/mo",1.5 ac,"South Whitehall Township, PA 18104"
Carbon County,"$499,000",2 ac,"Lake Harmony, PA 18624"
Wicomico County,"$300,000",12 ac,"Fruitland, MD 21822"
Wicomico County,"$525,000",44 ac,"Fruitland, MD 21822"
Monroe County,"$695,000",5.66 ac,"Blakeslee, PA 18610"
Monroe County,"$835,000",4.76 ac,"Blakeslee, PA 18610"
St. Lawrence County,"$60,000",2.28 ac,"DeKalb Junction, NY 13630"
Oneida County,"$274,900",62 ac,"Rome, NY 13440"
Monroe County,"$695,000",25.7 ac,"Blakeslee, PA 18610"
Dare County,"$180,000",5.5 ac,"Manteo, NC 27954"
Oneida County,"$549,000",20 ac,"Lee, NY 13440"
Monroe County,"$99,000",2 ac,"Blakeslee, PA 18610"
Monroe County,"$1,450,000",7.85 ac,"Blakeslee, PA 18610"
Monroe County,"$475,000",5.18 ac,"Pocono Lake, PA 18347"
Montgomery County,"$2,600/mo",0.46 ac,"Pottstown, PA 19464"
Berks County,"$300,000",4.79 ac,"Gilbertsville, PA 19525"
Monroe County,"$199,000",3.49 ac,"Blakeslee, PA 18610"
